effect_id,effect_name,defindex,item_name,listings_old,average_price_old,median_price_old,listings_new,average_price_new,median_price_new,_merge,price_change,percent_change,listing_change,status
6,Green Confetti,358,Dread Knot,1.0,7.48401863811003,7.48401863811003,1,7.463883906734062,7.463883906734062,both,-0.02013473137596833,-0.26903636067177183,0.0,Price Decreased
6,Green Confetti,359,Samur-Eye,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,361,Noh Mercy,1.0,327.4258154173138,327.4258154173138,1,326.5449209196152,326.5449209196152,both,-0.8808944976985913,-0.26903636067176484,0.0,Price Decreased
6,Green Confetti,363,Geisha Boy,1.0,11.226027957165046,11.226027957165046,1,11.195825860101092,11.195825860101092,both,-0.03020209706395427,-0.26903636067178766,0.0,Price Decreased
6,Green Confetti,377,Hottie's Hoodie,1.0,17.774544265511324,17.774544265511324,1,17.726724278493396,17.726724278493396,both,-0.047819987017927446,-0.2690363606717868,0.0,Price Decreased
6,Green Confetti,378,Team Captain,1.0,106.64726559306791,106.64726559306791,1,106.36034567096038,106.36034567096038,both,-0.28691992210752915,-0.26903636067175357,0.0,Price Decreased
6,Green Confetti,379,Western Wear,1.0,26.194065233385107,26.194065233385107,1,26.123593673569214,26.123593673569214,both,-0.0704715598158927,-0.26903636067178544,0.0,Price Decreased
6,Green Confetti,380,Large Luchador,1.0,111.32477724188672,111.32477724188672,1,111.02527311266915,111.02527311266915,both,-0.2995041292175671,-0.2690363606718061,0.0,Price Decreased
6,Green Confetti,381,Medic's Mountain Cap,1.0,11.226027957165046,11.226027957165046,1,11.195825860101092,11.195825860101092,both,-0.03020209706395427,-0.26903636067178766,0.0,Price Decreased
6,Green Confetti,382,Big Country,1.0,15.435788441101938,15.435788441101938,1,15.394260557639004,15.394260557639004,both,-0.041527883462933346,-0.26903636067176323,0.0,Price Decreased
6,Green Confetti,383,Grimm Hatte,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,384,Professor's Peculiarity,1.0,15.903539605983816,15.903539605983816,1,15.86075330180988,15.86075330180988,both,-0.04278630417393714,-0.26903636067179976,0.0,Price Decreased
6,Green Confetti,388,Private Eye,1.0,13.56478378157443,13.56478378157443,1,13.528289580955487,13.528289580955487,both,-0.03649420061894304,-0.2690363606717751,0.0,Price Decreased
6,Green Confetti,390,Reggaelator,1.0,30.403825717322,30.403825717322,1,30.322028371107127,30.322028371107127,both,-0.08179734621487356,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,391,Honcho's Headgear,1.0,19.177797760156952,19.177797760156952,1,19.126202511006035,19.126202511006035,both,-0.05159524915091751,-0.2690363606717649,0.0,Price Decreased
6,Green Confetti,393,Villain's Veil,1.0,327.4258154173138,327.4258154173138,1,326.5449209196152,326.5449209196152,both,-0.8808944976985913,-0.26903636067176484,0.0,Price Decreased
6,Green Confetti,394,Connoisseur's Cap,1.0,11.226027957165046,11.226027957165046,1,11.195825860101092,11.195825860101092,both,-0.03020209706395427,-0.26903636067178766,0.0,Price Decreased
6,Green Confetti,395,Furious Fukaamigasa,1.0,11.693779122046925,11.693779122046925,1,11.662318604271972,11.662318604271972,both,-0.031460517774952734,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,397,Charmer's Chapeau,1.0,27.12956756314886,27.12956756314886,1,27.05657916191097,27.05657916191097,both,-0.07298840123788963,-0.2690363606717882,0.0,Price Decreased
6,Green Confetti,398,Doctor's Sack,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,399,Ol' Geezer,1.0,10.758276792283167,10.758276792283167,1,10.729333115930212,10.729333115930212,both,-0.028943676352955805,-0.26903636067178427,0.0,Price Decreased
6,Green Confetti,400,Desert Marauder,1.0,9.822774462519414,9.822774462519414,1,9.796347627588457,9.796347627588457,both,-0.0264268349309571,-0.2690363606717583,0.0,Price Decreased
6,Green Confetti,403,Sultan's Ceremonial,1.0,7.951769802991907,7.951769802991907,1,7.9303766509049405,7.9303766509049405,both,-0.021393152086966793,-0.26903636067177744,0.0,Price Decreased
6,Green Confetti,417,Jumper's Jeepcap,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,427,Capo's Capper,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,434,Brain Bucket,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,435,Dead Cone,1.0,7.951769802991907,7.951769802991907,1,7.9303766509049405,7.9303766509049405,both,-0.021393152086966793,-0.26903636067177744,0.0,Price Decreased
6,Green Confetti,436,Hetman's Headpiece,1.0,7.016267473228153,7.016267473228153,1,6.997391162563183,6.997391162563183,both,-0.018876310664969864,-0.26903636067176556,0.0,Price Decreased
6,Green Confetti,437,Janissary Ketche,1.0,7.48401863811003,7.48401863811003,1,7.463883906734062,7.463883906734062,both,-0.02013473137596833,-0.26903636067177183,0.0,Price Decreased
6,Green Confetti,439,Lord Cockswain's Pith Helmet,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,445,Armored Authority,1.0,18.71004659527508,18.71004659527508,1,18.65970976683516,18.65970976683516,both,-0.05033682843992082,-0.2690363606717718,0.0,Price Decreased
6,Green Confetti,451,Bonk Boy,1.0,159.03539605983815,159.03539605983815,1,158.60753301809882,158.60753301809882,both,-0.42786304173932876,-0.269036360671773,0.0,Price Decreased
6,Green Confetti,459,Cosa Nostra Cap,1.0,28.06506989291261,28.06506989291261,1,27.98956465025273,27.98956465025273,both,-0.07550524265987946,-0.26903636067176556,0.0,Price Decreased
6,Green Confetti,465,Conjurer's Cowl,1.0,13.097032616692552,13.097032616692552,1,13.061796836784607,13.061796836784607,both,-0.035235779907944575,-0.2690363606717719,0.0,Price Decreased
6,Green Confetti,478,Copper's Hard Top,1.0,6.0807651434644,6.0807651434644,1,6.064405674221425,6.064405674221425,both,-0.01635946924297471,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,480,Tam O' Shanter,1.0,11.226027957165046,11.226027957165046,1,11.195825860101092,11.195825860101092,both,-0.03020209706395427,-0.26903636067178766,0.0,Price Decreased
6,Green Confetti,481,Stately Steel Toe,1.0,8.419520967873785,8.419520967873785,1,8.39686939507582,8.39686939507582,both,-0.022651572797965258,-0.2690363606717824,0.0,Price Decreased
6,Green Confetti,514,Mask of the Shaman,1.0,93.55023297637538,93.55023297637538,1,93.29854883417578,93.29854883417578,both,-0.25168414219960766,-0.2690363606717756,0.0,Price Decreased
6,Green Confetti,517,Dragonborn Helmet,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,518,Anger,1.0,33.67808387149514,33.67808387149514,1,33.58747758030328,33.58747758030328,both,-0.09060629119186103,-0.2690363606717824,0.0,Price Decreased
6,Green Confetti,521,Nanobalaclava,1.0,7.717894220550969,7.717894220550969,1,7.697130278819501,7.697130278819501,both,-0.02076394173146756,-0.2690363606717747,0.0,Price Decreased
6,Green Confetti,523,Company Man,1.0,29.93607455244012,29.93607455244012,1,29.85553562693625,29.85553562693625,both,-0.08053892550387332,-0.26903636067177183,0.0,Price Decreased
6,Green Confetti,538,Killer Exclusive,1.0,24.790811738739475,24.790811738739475,1,24.72411544105658,24.72411544105658,both,-0.06669629768289553,-0.26903636067177367,0.0,Price Decreased
6,Green Confetti,539,El Jefe,1.0,15.903539605983816,15.903539605983816,1,15.86075330180988,15.86075330180988,both,-0.04278630417393714,-0.26903636067179976,0.0,Price Decreased
6,Green Confetti,575,Infernal Impaler,1.0,29.000572222676368,29.000572222676368,1,28.922550138594488,28.922550138594488,both,-0.07802208408187994,-0.26903636067178105,0.0,Price Decreased
6,Green Confetti,590,Brainiac Hairpiece,1.0,177.7454426551132,177.7454426551132,1,177.26724278493396,177.26724278493396,both,-0.47819987017925314,-0.2690363606717749,0.0,Price Decreased
6,Green Confetti,597,Bubble Pipe,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,600,Your Worst Nightmare,1.0,20.113300089920703,20.113300089920703,1,20.05918799934779,20.05918799934779,both,-0.05411209057291089,-0.269036360671752,0.0,Price Decreased
6,Green Confetti,601,One-Man Army,1.0,17.774544265511324,17.774544265511324,1,17.726724278493396,17.726724278493396,both,-0.047819987017927446,-0.2690363606717868,0.0,Price Decreased
6,Green Confetti,602,Counterfeit Billycock,1.0,10.29052562740129,10.29052562740129,1,10.262840371759337,10.262840371759337,both,-0.027685255641953788,-0.269036360671746,0.0,Price Decreased
6,Green Confetti,603,Outdoorsman,1.0,10.29052562740129,10.29052562740129,1,10.262840371759337,10.262840371759337,both,-0.027685255641953788,-0.269036360671746,0.0,Price Decreased
6,Green Confetti,604,Tavish DeGroot Experience,1.0,13.097032616692552,13.097032616692552,1,13.061796836784607,13.061796836784607,both,-0.035235779907944575,-0.2690363606717719,0.0,Price Decreased
6,Green Confetti,605,Pencil Pusher,1.0,187.1004659527508,187.1004659527508,1,186.59709766835155,186.59709766835155,both,-0.5033682843992437,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,607,Buccaneer's Bicorne,1.0,10.29052562740129,10.29052562740129,1,10.262840371759337,10.262840371759337,both,-0.027685255641953788,-0.269036360671746,0.0,Price Decreased
6,Green Confetti,611,Salty Dog,1.0,22.45205591433009,22.45205591433009,1,22.391651720202184,22.391651720202184,both,-0.06040419412790499,-0.2690363606717719,0.0,Price Decreased
6,Green Confetti,612,Little Buddy,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,613,Gym Rat,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,614,Hot Dogger,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,615,Birdcage,1.0,10.29052562740129,10.29052562740129,1,10.262840371759337,10.262840371759337,both,-0.027685255641953788,-0.269036360671746,0.0,Price Decreased
6,Green Confetti,616,Surgeon's Stahlhelm,1.0,18.71004659527508,18.71004659527508,1,18.65970976683516,18.65970976683516,both,-0.05033682843992082,-0.2690363606717718,0.0,Price Decreased
6,Green Confetti,617,Backwards Ballcap,1.0,13.097032616692552,13.097032616692552,1,13.061796836784607,13.061796836784607,both,-0.035235779907944575,-0.2690363606717719,0.0,Price Decreased
